group,variable,label,mean_near,mean_far,difference,se,t_stat,p_value,n_near,n_far,n_total
Infrastructure,has_electricity,Connected to electricity grid,0.6074766355140186,0.2498265093684941,0.35765012614552455,0.048781808057228614,7.3316291541704555,3.041694185177534e-11,107,1441,1548
Infrastructure,has_generator,Functional backup generator,0.0,0.0,0.0,,,,107,1441,1548
Infrastructure,has_water_onsite,Water onsite/within 500m,0.9326923076923077,0.8401206636500754,0.09257164404223228,0.026661977129584565,3.4720472376188964,0.000687602078184495,104,1326,1430
Infrastructure,has_communication,Functioning communication system,0.6728971962616822,0.33448993754337264,0.33840725871830957,0.04723414832278035,7.1644619567555665,6.410568793140286e-11,107,1441,1548
Infrastructure,has_computer,Functioning computer,0.6915887850467289,0.5815405968077724,0.11004818823895657,0.046703307283872335,2.3563253790585104,0.020018050531898254,107,1441,1548
Infrastructure,has_ambulance,Functional ambulance,0.38317757009345793,0.18598195697432338,0.19719561311913456,0.04832053964075813,4.080989462973651,8.259086801686513e-05,107,1441,1548
Infrastructure,infrastructure_index,Infrastructure index (0-6),3.2616822429906542,2.124913254684247,1.1367689883064074,0.13263058956990387,8.57094122851098,3.489275155602761e-14,107,1441,1548
Staffing,n_providers,Number of providers,6.934579439252336,3.5523941707147815,3.3821852685375546,0.7980957080946042,4.237819141531631,4.662921222412519e-05,107,1441,1548
Staffing,n_staff_total,Total staff,56.76635514018692,14.609299097848716,42.1570560423382,19.545693333189593,2.1568462844320466,0.03326964110746845,107,1441,1548
Staffing,n_trained_providers,Providers trained (last 2 yrs),1.897196261682243,1.528799444829979,0.368396816852264,0.18165351915159286,2.0280191574204007,0.04477475979829618,107,1441,1548
Staffing,n_supervised_providers,Providers supervised (last 6 mo),3.308411214953271,2.50381679389313,0.8045944210601412,0.259949506815375,3.095195028131335,0.0024433827507945884,107,1441,1548
Service Volume,outpatient_visits,Outpatient visits (last month),1785.9885057471265,1471.6522988505747,314.33620689655186,267.0377187730325,1.1771228736556145,0.24209161361942733,87,1392,1479
Service Volume,inpatient_discharges,Inpatient discharges (last month),328.65384615384613,973.936507936508,-645.2826617826618,128.16761969944008,-5.034677739165978,8.61006410019329e-07,52,315,367
Service Volume,n_beds,Number of beds,26.81132075471698,10.544817927170868,16.266502827546113,5.681167375808982,2.8632324576126065,0.005026705453068455,106,1428,1534
Cleanliness and Infection Control,cleanliness_score,Cleanliness score (0-8),6.4672897196261685,5.752949340735601,0.7143403788905678,0.17617827722818996,4.054645045514541,8.786174433930484e-05,107,1441,1548
Cleanliness and Infection Control,has_soap_opd,Soap in OPD area,0.8130841121495327,0.8112421929215823,0.001841919227950406,0.03924406971540038,0.046934969826220384,0.9626416394715394,107,1441,1548
Cleanliness and Infection Control,has_sharps_container,Sharps container in OPD,0.7476635514018691,0.6273421235253296,0.12032142787653954,0.04407025524263752,2.7302185388781184,0.0072351223658154665,107,1441,1548
Cleanliness and Infection Control,has_gloves_opd,Latex gloves in OPD,0.7850467289719626,0.6481609993060374,0.13688572966592516,0.04183697610721442,3.2718839266760584,0.0013732362576544795,107,1441,1548
Cleanliness and Infection Control,has_precaution_guidelines,Standard precaution guidelines,0.3925233644859813,0.23039555863983344,0.16212780584614786,0.04870986616330732,3.328438745912162,0.00116566770669519,107,1441,1548
Cleanliness and Infection Control,has_disinfection_guidelines,Disinfection guidelines available,0.31958762886597936,0.284377923292797,0.03520970557318237,0.04955469948876985,0.7105220279090106,0.47884747129898875,97,1069,1166
Equipment (OPD),has_adult_scale,Adult weighing scale,0.7850467289719626,0.8244274809160306,-0.03938075194406798,0.04113981404787985,-0.9572418557418705,0.3403733928244521,107,1441,1548
Equipment (OPD),has_child_scale,Child weighing scale,0.6542056074766355,0.6058292852185982,0.04837632225803723,0.04795821450775471,1.008718167566787,0.31508912935708633,107,1441,1548
Equipment (OPD),has_thermometer,Thermometer,0.9439252336448598,0.890353920888272,0.053571312756587774,0.023814650741368938,2.2495107460689274,0.026080329886116683,107,1441,1548
Equipment (OPD),has_stethoscope,Stethoscope,0.9532710280373832,0.9368494101318529,0.016421617905530317,0.021478466473824002,0.7645619358134105,0.44594352524976244,107,1441,1548
Equipment (OPD),has_privacy,Visual privacy,0.5887850467289719,0.33726578764746706,0.25151925908150485,0.0493897278114958,5.092541915628091,1.3162349627231984e-06,107,1441,1548
Equipment (OPD),equipment_index,Equipment index (0-8),6.074766355140187,5.574600971547537,0.5001653835926501,0.1805331344754216,2.770490774704542,0.006478172783531152,107,1441,1548
Service Availability,offers_immunization,Child immunization,0.6822429906542056,0.7772380291464261,-0.09499503849222057,0.04653386391785178,-2.0414173785336067,0.04342439765530863,107,1441,1548
Service Availability,offers_sick_child,Sick child services,0.8504672897196262,0.952116585704372,-0.10164929598474581,0.035091343478914495,-2.8967057372945644,0.004538669351974054,107,1441,1548
Service Availability,offers_family_planning,Family planning,0.6728971962616822,0.8542678695350451,-0.18137067327336287,0.046507325610166066,-3.8998302072591535,0.00016242912131106114,107,1441,1548
Service Availability,offers_antenatal,Antenatal care,0.9065420560747663,0.9687716863289383,-0.06222963025417194,0.028640669295702477,-2.17277150934142,0.031911303391193066,107,1441,1548
Service Availability,offers_delivery,Delivery/newborn care,0.6448598130841121,0.35877862595419846,0.28608118712991365,0.04816935051396637,5.939070883817842,2.7657041116251196e-08,107,1441,1548
Service Availability,offers_lab,Laboratory services,0.6635514018691588,0.24705065926439973,0.4165007426047591,0.047279161894495346,8.809393523814807,1.1941082904139197e-14,107,1441,1548
Service Availability,offers_tb,TB services,0.35514018691588783,0.1839000693962526,0.17124011751963522,0.0475893649419282,3.5982854095362304,0.0004715322321105824,107,1441,1548
Service Availability,offers_ncd,Non-communicable disease services,0.5327102803738317,0.31228313671061764,0.2204271436632141,0.04997536514995406,4.4107160198191515,2.263245870781231e-05,107,1441,1548
Service Availability,service_index,Service breadth index (0-8),5.308411214953271,4.65440666204025,0.6540045529130207,0.16980552906228616,3.851491506340327,0.00019070248284696158,107,1441,1548
Child Health Services,offers_malnutrition_tx,Child malnutrition treatment,0.8901098901098901,0.9540816326530612,-0.06397174254317117,0.0334481680516266,-1.912563415862777,0.058804734050545725,91,1372,1463
Child Health Services,offers_vitamin_a,Vitamin A supplementation,0.7362637362637363,0.6399416909620991,0.09632204530163724,0.04822461853360216,1.9973625138065436,0.04838444515991748,91,1372,1463
Child Health Services,offers_iron_supp,Iron supplementation,0.7362637362637363,0.6319241982507289,0.10433953801300744,0.048241099506231344,2.1628764493547625,0.032827009853217105,91,1372,1463
Child Health Services,offers_zinc_supp,Zinc supplementation,0.7252747252747253,0.6690962099125365,0.05617851536218876,0.048738034411376405,1.1526627210283147,0.25170225392835166,91,1372,1463
Child Health Services,offers_deworming,Deworming,0.945054945054945,0.9584548104956269,-0.013399865440681835,0.024617077828027467,-0.5443320906848491,0.5874335499927008,91,1372,1463
Child Health Services,child_health_index,Child health index (0-5),4.032967032967033,3.8534985422740524,0.17946849069298043,0.14284719483127553,1.256366923445436,0.21192375031213992,91,1372,1463
Quality and Fees,has_quality_system,Quality of care system,0.2616822429906542,0.17418459403192227,0.08749764895873191,0.04384720328499721,1.995512653110767,0.04829241333265613,107,1441,1548
Quality and Fees,any_client_fees,Any client fees,0.19626168224299065,0.04580152671755725,0.1504601555254334,0.03896782849324952,3.86113779862016,0.00019062663228264353,107,1441,1548
